都道府県名,pc1,pc2
三重県,-3.5984212459853095,-2.8286111151112983
京都府,21.495927839609458,28.36241799370771
佐賀県,-5.249265676731512,-2.8298303430296747
兵庫県,-0.7241129336641446,-1.399015937386963
北海道,-8.061588981646683,-13.837233725061127
千葉県,-4.217549388841594,-1.7529065702817395
和歌山県,-2.951852773222186,-1.6506824227768682
埼玉県,-3.9176901059597755,-2.862262309891609
大分県,-4.363575430577151,-3.0991785269926604
大阪府,-4.841374306878862,-3.9662370177694
奈良県,-5.023187649783869,-1.8825800632785268
宮城県,11.414063142331626,20.839936272977106
宮崎県,-4.535904655875967,-2.9577531462093147
富山県,-2.5811476056588014,-0.9858443951451138
山口県,-5.26447370074574,-3.4174508982247587
山形県,-1.365508569600468,2.537036697825618
山梨県,-4.027291903061154,-0.12786360264104374
岐阜県,-1.8494475652434643,-4.420424443024127
岡山県,-4.190256779629325,-2.821108819530956
岩手県,2.826885045948274,8.431062750373792
島根県,-5.074150606206235,-2.396461025563464
広島県,-4.848674627008643,-3.4125748498476023
徳島県,-1.5036936883637633,-0.300085083155794
愛媛県,-3.4334654783279364,-2.18238495145397
愛知県,73.11002614663236,-40.310600109315246
新潟県,-1.3958609517970058,-0.18902989061071704
東京都,-4.23447533351086,-2.6477373692767916
栃木県,-3.66760425157869,-2.534848279727563
沖縄県,-6.2137279046974605,-5.738792543278627
滋賀県,-3.323805077222183,-2.523442706627322
熊本県,-4.035683685738677,-1.4005494414618005
石川県,-0.18033156419113736,-0.5421852691714902
神奈川県,-4.740066013463017,-3.4528631519110764
福井県,-2.187457763562888,-1.2469425995316463
福岡県,-4.677970254363682,-4.145603146465611
福島県,29.06553173058306,48.7374608440574
秋田県,8.596553701286599,18.0311997483276
群馬県,-3.47279263365953,-0.5133673012945463
茨城県,-2.97260472649481,-0.9838692133858737
長崎県,-3.89446705968924,-1.1930313230048128
長野県,-2.29238590961136,0.09239153160714812
青森県,3.586351742844091,11.572652851465014
静岡県,-2.682375034283821,-1.613948547416589
香川県,-5.328434132383354,-3.230943629812583
高知県,-4.013680054409516,-1.6348313177287108
鳥取県,-4.727451414817788,-2.5001351387173556
鹿児島県,-4.431531910747665,-3.070948465228112
