element,pc1_loading,pc2_loading
沢,0.5487532292671915,-0.10219621348794067
谷,0.11506327496698959,0.05385554727880168
原,0.02451320903844483,-0.07498008803748654
浜,-0.0013645037137824626,0.49177733843349863
浦,0.022972146925696955,0.5907092314640985
崎,0.13164528915050794,0.32172713514401685
埼,-0.017828247816710576,0.008684159054682792
森,0.2751461632086462,0.3289906128577729
野,0.06399546207586768,-0.16602763898152645
岡,0.15904692557818695,-0.006652507914630355
窪,0.09633281490826065,-0.14269985168318453
迫,0.09010522181589259,0.0011982509220667002
別,-0.0989037595282806,-0.02458327213825156
幌,0.034658488067595826,-0.015311807526881627
内,0.355572420679132,0.028262945883456573
峠,0.2173817400118947,-0.1089591300587362
橋,0.05677701144700898,0.00464463102744974
島,-0.1345022779990298,0.046133470493715245
池,0.01791011786544512,0.035946205458631135
滝,0.172254245118118,-0.09148625219032466
瀬,-0.021868207472370674,0.23447321058464807
塚,0.027397866267919676,-0.17302615497390064
館,0.4308869859860232,0.04810404469576786
舘,0.34854961572242704,-0.13381818061623574
