kanji,pc1_loading,pc2_loading
津,-0.003874990310653409,0.0019246423281146332
市,-0.008988447573708227,-0.01967734178996577
四,-0.017186950943030025,-0.023006683070067896
日,-0.007095347659812298,-0.012587910210146621
伊,0.0009532073900120585,0.013491049525937356
勢,-0.004624165518805218,-0.003840104274588134
松,-0.006103358947406867,0.0019332058967201375
阪,-0.005446228285591324,-0.005183015366678695
桑,0.0026608632440709382,0.0031533633997699716
名,0.024301947950311417,-0.021903898161457318
鈴,-0.003230870993950843,-0.003796645849415232
鹿,-0.001439862852630699,0.00789905738621092
張,0.0006901565461210072,-0.006894523488367328
尾,0.015100949750008502,-0.025574061002462418
鷲,-0.0030963040836582403,-0.002650667999920953
亀,0.002695411661355211,0.007273876939318997
山,0.00329091248063161,0.0074487572006468
鳥,-0.004101429305525171,-0.0006719531596227239
羽,0.007332269541848541,-0.004116391879567237
熊,-0.004046073409638512,-0.0012896891506425849
野,-0.010925314170743295,0.001077768954491169
志,-0.008013921570018224,-0.005908498498382999
摩,-0.007436344464402131,-0.0037953600099339185
賀,-0.005788429633434667,-0.002998543396986841
郡,-0.0022651131705601468,0.018861007944710812
木,0.007996997110136989,0.011476928977922428
曽,0.009674381082767422,-0.00799751069972665
岬,-0.007948560208698219,-0.006894250846107802
町,0.006286403046544648,-0.008018841534587031
員,-0.0037606362033267534,-0.003468452183341374
弁,-0.0035266822082909402,-0.0033763170841857987
東,-0.008023426141877536,-0.02369219017848602
三,-0.024036204952952164,-0.025909667388820272
重,-0.004054237712770233,-0.01171339068704291
菰,-0.001645927770341841,-0.004454962466538324
朝,-0.009812397968730685,-0.009435872349369228
川,0.009253386675067102,0.02004837297359503
越,-0.0012888233015481208,0.0016109375745981271
多,0.012661929970283767,-0.012405887297378132
気,-0.0015753927628312254,0.0038313350002870537
明,0.030405209010171654,-0.01764049256813781
和,-0.0026512298199331402,-0.0010459092123137432
大,0.0009344429343013806,0.014366070514888616
台,-8.404557578102461e-05,0.012830104825595358
度,-0.005946072629089919,-0.004852073903017837
会,0.02128395606694194,0.0418500416005015
玉,-0.003259554362996323,0.006395875746470031
城,0.004604548079068401,-0.0034137321374920144
紀,-0.0037692238972222127,-0.0027301300645245
南,-0.008645739967620124,-0.005085886223578803
北,-0.0015160134650345537,0.003116891479855956
牟,-0.005199092173774657,-0.004972796675819952
