kanji,national_count
市,230521
町,162341
田,60860
大,56952
郡,51952
区,42002
川,36748
山,34937
字,34374
西,31459
東,29619
北,26520
南,26023
野,24295
中,24196
上,22478
島,20405
原,20196
岡,17364
下,16041
沢,15759
条,15197
新,14961
小,14908
津,14253
崎,14048
松,13480
宮,12926
本,12347
谷,12035
屋,12034
戸,11968
豊,11792
木,11536
高,11523
井,10920
京,10207
平,10187
村,9535
名,9427
古,9402
神,9341
石,9289
前,9252
内,9206
福,9167
和,8935
日,8385
長,8277
浜,8269
城,8099
台,7992
尾,7859
美,7418
河,7358
寺,7356
江,7265
地,7199
白,7102
幌,6869
都,6824
見,6761
賀,6760
久,6608
多,6522
富,6250
札,6241
伊,6075
水,5963
加,5863
広,5817
坂,5696
岩,5651
吉,5582
佐,5512
橋,5431
金,5415
知,5264
倉,5101
横,4940
安,4922
部,4840
浦,4780
手,4631
泉,4537
郷,4528
沼,4462
口,4397
央,4363
鹿,4357
生,4325
通,4282
根,4245
森,4213
馬,4146
葉,4122
子,4036
瀬,3971
丘,3971
塚,3886
仙,3874
相,3865
千,3863
海,3863
稲,3809
須,3793
旭,3762
越,3673
花,3616
羽,3588
割,3573
里,3570
幡,3561
波,3536
方,3483
別,3477
保,3442
代,3420
宇,3311
清,3296
黒,3276
池,3256
路,3241
畑,3224
道,3151
場,3125
阪,3023
若,3012
阿,3006
岐,3005
敷,2991
州,2932
天,2916
間,2876
関,2867
藤,2866
国,2865
明,2812
良,2766
巻,2757
米,2753
丹,2711
達,2701
青,2694
船,2687
土,2675
御,2646
鶴,2619
春,2618
向,2586
之,2576
立,2553
熊,2544
林,2529
辺,2527
秋,2507
太,2491
飯,2485
鳥,2424
潟,2390
柳,2382
赤,2357
府,2325
門,2321
矢,2311
出,2277
今,2267
会,2252
奥,2203
阜,2187
治,2149
丸,2148
喜,2125
荒,2046
元,2029
標,2028
第,2016
取,2002
線,1999
塩,1984
館,1979
園,1969
志,1944
緑,1939
桜,1937
玉,1936
能,1866
常,1865
亀,1855
堂,1853
光,1851
栄,1833
湯,1823
刈,1822
幸,1821
徳,1802
堀,1791
茂,1782
竹,1769
後,1760
朝,1755
深,1752
角,1752
渡,1744
柴,1741
那,1740
王,1724
草,1703
蒲,1692
士,1685
愛,1678
来,1677
尻,1653
帯,1650
合,1649
成,1640
紫,1618
栗,1611
利,1592
所,1570
垣,1568
室,1560
砂,1541
滝,1536
分,1535
宿,1534
楽,1532
堺,1523
永,1506
港,1504
麻,1501
庄,1497
桑,1490
双,1450
足,1445
住,1426
甲,1415
入,1406
穂,1406
牧,1404
宝,1399
岸,1384
蔵,1381
柏,1366
浅,1363
曽,1359
遠,1343
音,1333
真,1303
猪,1303
香,1274
比,1273
板,1271
登,1265
居,1256
奈,1253
勝,1251
作,1244
理,1238
杉,1219
姫,1217
伏,1206
犬,1198
軽,1179
駒,1157
釧,1146
留,1133
亘,1123
月,1118
世,1108
切,1108
盛,1106
綾,1101
万,1096
武,1092
家,1075
脇,1071
寄,1045
舘,1045
形,1042
篠,1034
寒,1030
更,1027
萩,1023
笹,1023
静,1021
滑,1016
片,1004
頭,1000
陽,994
半,992
厚,982
坪,970
梅,958
弘,956
外,954
輪,946
槻,944
昭,930
仁,926
