candidate,count
丁目,91423
大字,25506
一丁,22404
一丁目,22176
二丁,21933
二丁目,21725
三丁,16480
三丁目,16301
四丁,11144
四丁目,11017
五丁,7613
五丁目,7550
町二,6910
町一,6886
町一丁,6665
町二丁,6644
田町,6521
町三,5162
六丁,4876
六丁目,4836
町三丁,4813
川町,4060
山町,3556
原町,3323
本町,3295
七丁,3199
七丁目,3184
町四,3156
町四丁,3065
地割,2961
野町,2738
新田,2553
一条,2385
島町,2277
二十,2263
八丁,2242
二条,2221
八丁目,2179
条南,2145
条西,2065
町五,2060
屋敷,2047
三条,1984
町大,1966
町五丁,1917
和田,1872
四条,1681
木町,1670
新町,1657
東町,1634
十一,1606
井町,1595
山田,1585
条東,1551
津町,1534
和町,1511
谷町,1508
十二,1476
川原,1474
五条,1449
久保,1444
九丁,1439
九丁目,1435
西二,1396
が丘,1385
条北,1352
西十,1344
中央,1337
八幡,1337
字上,1336
東二,1305
ケ丘,1291
屋町,1284
字大,1284
西町,1263
北二,1251
崎町,1229
六条,1227
東一,1215
清水,1209
十三,1204
谷地,1187
南町,1185
南二,1164
中町,1153
江町,1152
町西,1143
寺町,1141
西一,1118
町六,1116
町六丁,1081
坂町,1077
古川,1074
十四,1062
条十,1058
町上,1049
上町,1041
東三,1035
岡町,1030
十丁,1026
七条,1020
十丁目,1015
町東,1005
北三,1003
栄町,983
内町,975
三十,969
前田,969
字小,965
大字上,963
ノ内,963
西三,943
大字大,939
十五,926
東十,924
字下,923
南一,915
町大字,913
中島,905
上野,887
中野,881
町下,879
南三,876
十六,872
条二,870
町中,861
台一,856
台二,852
部町,849
河原,847
大字小,844
台一丁,839
字中,836
台二丁,835
八条,829
北町,828
浜町,824
田山,824
町北,812
北一,803
宮町,801
条二丁,795
見町,794
条一,792
条一丁,792
浦町,776
条三,753
条三丁,753
十七,751
野田,750
九条,747
戸町,743
東一丁,735
吉田,730
南十,726
和田山,721
田中,718
十一丁,715
十八,711
町八,707
尾町,703
東二丁,702
東四,701
条四,690
条四丁,690
西四,689
口町,689
南一丁,685
西二丁,684
西一丁,680
北四,680
倉町,679
平町,679
田山町,679
生町,677
一色,673
大字下,672
飯坂,666
町小,660
元町,656
町七,655
日町,655
南二丁,653
台三,652
田一,649
良町,648
賀町,646
条西十,644
城町,638
水沢,637
台三丁,636
根町,635
春日,634
方町,625
馬場,622
町七丁,618
北十,616
通二,614
沢町,614
鹿島,614
田二,612
丘一,608
町南,607
字西,607
十二丁,604
十九,604
丘二,603
第十,602
ノ木,594
十条,592
条五,592
条五丁,592
郷町,592
本郷,588
南四,581
井田,580
丘一丁,579
田一丁,577
中山,575
松町,573
大和,573
田二丁,573
飯坂町,571
字東,568
丘二丁,567
西五,567
東三丁,567
太田,567
西三丁,563
前町,562
加茂,562
東五,561
町区,561
原町区,561
下町,555
場町,554
大谷,550
村町,542
反田,542
字北,541
大野,541
ノ下,540
番町,537
祖父,537
南三丁,532
字山,532
父江,530
祖父江,530
山崎,529
北二十,528
大字中,527
瀬町,524
高田,523
大通,522
山田町,519
条六,518
条六丁,518
天神,517
吉町,516
北一丁,514
色町,512
温泉,510
小川,510
平野,510
泉町,506
中田,498
塚町,497
荒井,497
旭町,492
末広,491
間町,491
大久,487
十三丁,486
条東十,486
吉良,485
幸町,484
千代,484
昭和,483
字豊,481
橋町,480
保町,480
一色町,479
吉良町,479
萩原,478
北二丁,477
松川,477
ヶ丘,475
小山,474
市場,474
ノ上,472
通一,469
丘三,467
小野,465
海町,464
田三,459
本町二,459
通二丁,458
台四,457
字新,456
十一条,455
字南,454
茂町,454
本町一,453
東山,453
通一丁,447
園町,444
須賀,444
台四丁,442
父江町,442
大字山,441
条七,439
条七丁,439
中村,437
丘三丁,436
緑町,436
南五,434
住吉,433
池田,433
条南十,431
船引,430
里町,429
町高,427
田三丁,426
ケ谷,426
十四丁,423
四十,423
字高,423
大字北,423
町新,421
富士,420
山口,419
北五,417
高町,417
町平,416
神明,416
松原,416
松川町,415
条通,415
町山,413
矢田,413
ノ前,413
福岡,413
山一,411
葉町,410
山二,409
北三十,409
加茂町,407
東四丁,405
朝日,405
西四丁,404
幡町,404
東六,403
十二条,403
神町,403
本木,403
西六,401
南四丁,401
大平,399
通三,397
地町,397
大字西,397
日市,396
小田,396
梁川,395
梁川町,392
北三丁,389
字川,388
保原,388
浅井,388
町八丁,386
原一,386
池町,386
八木,385
大久保,385
鳥谷,385
通三丁,383
字三,382
町田,380
条南二,377
柳町,376
子町,376
高野,376
富田,376
神田,375
条西二,373
水町,373
宝町,373
字田,373
越町,371
原田,371
石町,370
宮前,368
大沢,367
大字南,367
山一丁,366
大塚,366
一条南,365
条八,364
小松,364
田野,364
一地,364
一地割,364
条八丁,363
大町,363
宮ノ,363
西七,362
垣内,362
山二丁,361
東一条,361
河内,359
十五丁,358
林町,358
加納,358
大和町,357
大字高,356
野一,355
第二,355
西ノ,355
野二,352
西山,352
府町,351
大山,348
三ツ,346
田原,346
白山,346
小名,346
東大,345
明町,344
西大,344
二地,344
二地割,344
引町,344
落合,343
石鳥,341
線北,340
福田,339
曽根,339
羽黒,339
萩原町,338
南六,337
中ノ,337
丸山,337
石鳥谷,337
北方,337
原二,336
鳥谷町,336
原一丁,334
下川,334
木曽,334
本町三,333
諏訪,333
北六,332
二条南,331
三地,331
園部,331
平和,330
手町,330
三地割,330
町宮,329
金沢,329
字長,329
西根,329
町十,328
稲荷,327
西二十,326
上ノ,326
ケ崎,326
園部町,326
原二丁,325
十三条,324
西一条,323
丘町,322
条南三,322
通四,321
大字東,321
四地,321
四地割,321
南二十,320
船引町,320
丘四,319
十六丁,319
南五丁,319
浅井町,318
野目,317
伊勢,317
天王,316
北浦,316
台五,315
瀬戸,314
山ノ,314
野一丁,313
大原,313
山中,313
田四,312
西野,312
大森,311
本通,310
豊岡,310
野二丁,310
三本,310
中川,310
十四条,309
北野,309
一線,309
東七,308
通四丁,308
東二条,308
川田,308
二十一,307
和田町,306
曽川,306
条九,305
条九丁,305
薬師,305
五地,305
五地割,305
六地,305
北四丁,304
畑町,304
大字豊,304
木曽川,304
曽川町,304
山下,303
字藤,303
田村,302
小屋,301
台五丁,300
小路,299
大島,299
丘四丁,298
ノ沢,298
田町一,298
前沢,298
金山,297
田町二,297
田東,296
北山,296
保原町,296
字野,295
三条南,294
西田,294
岡田,293
之内,293
川内,292
大字田,292
八幡町,290
士見,290
大字川,290
観音,290
佐倉,290
西八,289
錦町,289
大字藤,289
赤坂,288
通十,287
山台,287
上大,287
六地割,287
合町,286
ノ口,286
十七丁,285
山三,285
山手,285
東三条,284
七地,284
山城,284
西五丁,283
出町,283
富士見,283
字石,283
飯田,282
七地割,282
二十二,281
愛宕,281
西二条,280
神楽,280
永山,280
国府,280
大字三,280
字平,279
若宮,279
野田町,278
仁井,278
十五条,277
野三,277
代町,277
西九,276
東五丁,276
字深,276
田四丁,275
五反,275
十和,275
名浜,275
小名浜,275
二ツ,274
石田,274
二線,273
十和田,273
北七,271
東和,270
大越,269
十六条,268
森町,268
大字新,267
穂田,267
山城町,266
大字深,265
小高,265
通五,264
富岡,264
八地,264
八地割,264
三穂,264
三穂田,263
穂田町,263
千秋,262
法寺,262
西三条,261
原三,261
常磐,261
大字長,261
新屋,261
門前,261
南方,261
四倉,261
四倉町,261
五十,260
下野,260
一番,260
下山,260
熊野,260
花園,259
市町,259
阿寒,259
西原,259
長田,259
田西,258
沢田,258
鹿町,258
十八丁,257
南七,257
一本,257
月町,256
東中,256
波町,256
二十四,255
原野,255
四条南,255
成田,255
秋町,255
通五丁,254
寿町,254
字町,254
路町,252
高木,252
条十丁,251
一条北,251
小泉,251
長谷,251
好間,251
道下,250
町浅,250
湯野,250
文字,249
大門,249
一条西,248
山三丁,248
緑ケ,248
吉野,248
字八,248
常盤,247
広町,247
寒町,247
木田,247
国分,247
二十三,246
二条西,246
西川,246
下大,246
田村町,246
千秋町,246
豆町,246
大井,245
（大,245
字な,245
なし,245
し）,245
（大字,245
大字な,245
字なし,245
なし）,245
島区,245
幡豆,245
幡豆町,245
島一,244
町金,244
大宮,244
迫町,244
西浦,244
中田町,244
東光,243
別所,243
向山,243
山本,242
大字野,242
町湯,242
原三丁,241
野三丁,241
本松,241
上川,241
木野,241
九地,241
九地割,241
辺町,241
八木町,241
東八,240
川二,240
本町四,240
三線,240
字羽,240
大字石,240
田川,240
大高,240
仁井田,240
島二,239
田沢,239
西中,239
三条西,238
川一,238
吉川,238
小島,238
神戸,238
北五丁,237
下小,237
田島,236
七宝,236
南八,235
来町,235
明神,235
岩崎,235
新田町,235
第二十,235
小坂,235
四条西,234
御津,234
七宝町,234
六条西,233
松山,233
阿寒町,232
町川,232
川口,232
町平野,232
第三,231
緑ケ丘,230
港町,230
大麻,230
平沢,230
四ツ,230
中屋,230
下田,230
島一丁,229
大槻,229
花輪,228
川西,227
大川,227
ノ浦,227
桜町,227
之町,227
新井,227
島田,227
北一条,226
南六丁,226
青葉,226
が丘一,226
大曲,226
羽根,226
十文,226
若松,225
豊田,225
田町三,225
広瀬,225
井戸,225
鹿島区,225
川端,224
野新,224
字内,224
黒田,224
東和町,224
十九丁,223
条東二,223
が丘二,223
十文字,223
十地,223
十地割,223
丘五,222
五条西,222
島二丁,222
松ケ,222
宮下,222
町本,222
野中,222
町九,221
東四条,221
大津,221
ケ丘一,220
北二条,220
琴似,220
清水町,220
五条南,220
若葉,220
駅前,220
十一地,220
高区,220
小高区,220
野々,219
槻町,219
川一丁,218
四線,218
野東,218
北田,218
町黒,218
町長,218
北八,217
昭和町,217
新町一,217
麻町,217
町佐,217
十七条,216
中島町,216
二条北,216
上山,216
字宮,216
佐野,216
北ノ,215
端町,215
川二丁,214
日吉,214
門町,214
新町二,214
田町大,214
光寺,214
和賀,214
上高,214
西六丁,213
川北,213
高松,213
